コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
5015	ビーピー・カストロール	スタンダード（内国株式）	3300	石油・石炭製品	2	エネルギー資源	-	-	1008.0	4.96	50.0	4.96	50.0	4.96	配当あり	いいえ	22.03	3.26	231.4	1038.0	830.0	Energy	なし			高			OK	OK	OK	通常掲載可	OK	OK
5016	ＪＸ金属	プライム（内国株式）	3500	非鉄金属	7	鉄鋼・非鉄	4	TOPIX Mid400	4553.0	0.44	20.0	0.41	20.0	0.44	配当あり	いいえ	40.33	5.8	42272.9	5828.0	789.2	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
5018	ＭＯＲＥＳＣＯ	スタンダード（内国株式）	3300	石油・石炭製品	2	エネルギー資源	-	-	1810.0	3.04	55.0	2.99	55.0	3.04	配当あり	いいえ	10.89	0.71	166.1	2223.0	1216.0	Basic Materials	あり	QUOカード: 300株以上 | 【3年未満保有株主】 3,000円相当 【3年以上保有株主】 4,000円相当 | ■継続保有期間について 継続保有期間3年以上とは、2月末日および8月末日時点の株主名簿に同一株主番号で連続7回以上記載または記録されることといたします。 ■贈呈時期 毎年5月下旬「事業報告書」に同封。	300	高			OK	OK	OK	通常掲載可	OK	OK
5019	出光興産	プライム（内国株式）	3300	石油・石炭製品	2	エネルギー資源	4	TOPIX Mid400	1223.5	2.94	36.0	2.98	36.0	2.94	配当あり	いいえ	8.71	0.78	14720.9	1671.0	865.6	Energy	あり	音楽会招待、キッザニア入場券（抽選）: 500株以上 | ・株主１名につき２名様分まで応募可 （公開収録ごとに案内予定）	100	高			OK	OK	OK	通常掲載可	OK	OK
5020	ＥＮＥＯＳホールディングス	プライム（内国株式）	3300	石油・石炭製品	2	エネルギー資源	2	TOPIX Large70	1214.5	2.8	34.0	2.85	34.0	2.8	配当あり	いいえ	12.65	0.97	32641.6	1552.5	707.0	Energy	なし			高			OK	OK	OK	通常掲載可	OK	OK
5021	コスモエネルギーホールディングス	プライム（内国株式）	3300	石油・石炭製品	2	エネルギー資源	4	TOPIX Mid400	3757.0	4.39	165.0	4.49	165.0	4.39	配当あり	いいえ	8.29	0.98	5965.7	5034.0	3065.0	Energy	なし			高			OK	OK	OK	通常掲載可	OK	OK
5025	マーキュリー	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	532.0						配当未取得		8.6	1.24	14.2	790.0	502.0	Technology	あり	自社サービス利用・クーポン: 100株以上 | 6ケ月無料クーポン （12,000円相当） | ※インターネットに接続できる環境（スマートフォン等）が必要。	100	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5026	トリプルアイズ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	532.0						配当未取得			3.27	44.6	1525.0	514.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5027	ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	414.0	0.48	2.0	0.48	2.0	0.48	配当あり	いいえ	27.82	1.43	248.1	829.0	375.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
5028	セカンドサイトアナリティカ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	356.0						配当未取得		28.57	2.84	34.0	659.0	318.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5029	サークレイス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	630.0						配当未取得		14.64	2.16	27.6	1591.0	540.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5031	モイ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	332.0						配当未取得		45.6	2.28	46.4	930.0	221.0	Technology	あり	オリジナルQUOカード: 200株以上 | 1,000円相当 | ※初回のオリジナルデザインは、STPR所属のユニット「すとぷり」と、「ツイキャス」公式キャラクター「ソノヒグラシ」、「ユメミゴコチ」、「コハルビヨリ」をフィーチャーしたデザインとなる予定。 ■贈呈時期 毎年４月の定時株主総会関係書類に同封。 / 500株以上 | 5,000円相当	200	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5032	ＡＮＹＣＯＬＯＲ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	2097.0	2.96	62.0	3.02	62.0	2.96	配当あり	いいえ	9.09	4.66	1257.0	6790.0	2007.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
5033	ヌーラボ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	898.0						配当未取得		32.44	2.9	57.1	948.0	660.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5034	ｕｎｅｒｒｙ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2050.0						配当未取得		26.15	3.34	76.7	4210.0	1909.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5035	ＨＯＵＳＥＩ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	359.0	0.84	3.0	0.83	3.0	0.84	配当あり	いいえ		0.79	24.0	517.0	353.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
5036	日本ビジネスシステムズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1374.0	4.08	56.0	4.03	56.0	4.08	配当あり	いいえ	9.55	2.17	619.1	1924.0	1348.0	Technology	あり	プレミアム優待倶楽部ポイント: 400株以上 | 1,500ポイント | ◇特設ウェブサイト「日本ビジネスシステムズ・プレミアム優待倶楽部」において、約5,000種の掲載商品からお好みの商品と交換できます。 ※繰越条件：3月末日・9月末日において株主名簿に同一株主番号で連続2回以上記載された場合にのみ繰り越せます（最大3回まで）。 ※1ポイント≒1円相当。 ※プレミアム優待倶楽部では、株主優待ポイントを共通株主優待コイン「WILLsCoin」と交換することができる。WILLsCoinは個人株主向け会員制サイト「プレミアム優待倶楽部PORTAL」にて優待商品と交換することができる。 / 500株	400	高			OK	OK	OK	通常掲載可	OK	OK
5038	ｅＷｅＬＬ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1706.0	1.23	21.0	1.22	21.0	1.23	配当あり	いいえ	23.95	8.25	258.1	3015.0	1695.0	Healthcare	なし			高			OK	OK	OK	通常掲載可	OK	OK
504A	イノバセル	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	385.0						配当未取得			1.7	173.6	1248.0	377.0	Healthcare	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
505A	ギークリー	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1082.0	1.66	18.0	1.7	18.0	1.66	配当あり	いいえ	24.62		121.5	1760.0	1036.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
5071	ヴィス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1333.0	4.43	59.0	4.36	59.0	4.43	配当あり	いいえ	8.21	1.42	112.4	1688.0	1221.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
5074	テスホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	972.0	0.6	5.8	0.57	5.8	0.6	配当あり	いいえ	74.26	1.38	686.6	1440.0	304.0	Utilities	あり	プレミアム優待倶楽部ポイント: 1,000株以上 | 3,000ポイント | ※「テスホールディングス・プレミアム優待倶楽部」において、食品、電化製品、旅行、及び体験ギフトなど 5,000点以上の商品とポイントを交換できる。 ※ポイントの繰越は１回のみ。 ■継続保有期間について 毎年6月末日において株主名簿に同一株主番号で連続2回以上記載又は記録され、かつ1,000株以上継続保有されている場合のみ繰り越せます。 ※1ポイント≒1円相当。 ※プレミアム優待倶楽部では、株主優待ポイントを共通株主優待コイン「WILLsCoin」と交換することができる。WILLsCoinは個人株主向け会員制サイト「プ	1000	高			OK	OK	OK	通常掲載可	OK	OK
5076	インフロニア・ホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	2711.0	3.69	100.0	3.7	100.0	3.69	配当あり	いいえ	10.51	1.12	6850.5	2822.0	1184.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
50765	インフロニア・ホールディングス第１回社債型種類株式	プライム（内国株式）	2050	建設業	3	建設・資材	-	-	4631.0	2.81	130.0	2.81	130.0	2.81	配当あり	いいえ		1.92		4707.0	4593.0	Industrials	対象外			低			OK	要確認	要確認	手動確認後に掲載	OK	対象外
5078	セレコーポレーション	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	4780.0	3.35	160.0	3.35	160.0	3.35	配当あり	いいえ	14.1	0.77	161.9	6950.0	4370.0	Real Estate	なし			高			OK	OK	OK	通常掲載可	OK	OK
5079	ノバック	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2434.0	4.93	120.0	4.96	120.0	4.93	配当あり	いいえ	10.66	0.69	125.5	2940.0	2390.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
