コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1447	ＳＡＡＦホールディングス	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	304.0	1.58	4.8	1.67	4.8	1.58	配当あり	いいえ	16.12	6.81	74.1	475.0	230.0	Technology			OK	通常掲載可	OK	28855.7	1.16	-1.42	15.58	3.58	-366.2	18.86	25.45	11.74	
1450	ＴＡＮＡＫＥＮ	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1369.0	4.02	55.0	4.02	55.0	4.02	配当あり	いいえ	7.93	1.28	119.1	1870.0	1300.0	Industrials			OK	通常掲載可	OK	14820.4	14.75	20.63	76.57	0.0	-608.2	172.65	31.86	17.12	1
145A	Ｌ　ｉｓ　Ｂ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	794.0						配当未取得		29.32	2.13	40.7	1543.0	740.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2132.7	7.93	33.79	53.94	0.67	151.3	27.08		8.8	
146A	コロンビア・ワークス	スタンダード（内国株式）	8050	不動産業	17	不動産	-	-	2936.0	3.2	94.0	3.16	94.0	3.2	配当あり	いいえ	5.91	1.3	226.6	4710.0	2490.0	Real Estate			OK	通常掲載可	OK	37084.0	16.26	76.75	26.05	2.69	-5765.0	496.69	18.93	24.04	1
147A	ソラコム	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1015.0						配当未取得		75.07	4.08	462.6	1335.0	782.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8993.0	7.3	13.42	76.97	0.09	-1052.7	13.52		5.87	
148A	ハッチ・ワーク	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1675.0						配当未取得		13.53	3.13	32.2	3155.0	1647.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2759.3	9.5	16.55	35.62	0.43	266.3	123.79		27.37	
1491	中外鉱業	スタンダード（内国株式）	3500	非鉄金属	7	鉄鋼・非鉄	-	-	671.0	10.13	68.0	10.27	68.0	10.13	配当あり	いいえ	6.38	1.03	96.4	1480.0	632.0	Basic Materials	高利回り要確認	1株配当が株価の10%以上 / 配当利回りが8%以上	要確認	手動確認後に掲載	OK_高利回り要確認	281692.2	0.87	73.51	53.31	0.39	1922.5	105.13	64.68	17.24	1
149A	シンカ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	744.0						配当未取得		57.23	2.28	23.9	1774.0	672.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1464.4	4.1	18.84	81.85	0.06	30.9	13.0		4.24	
150A	ＪＳＨ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	358.0						配当未取得			1.05	20.3	484.0	329.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4740.2	-2.24	19.49	51.17	0.69	-641.9	-21.42		-7.33	
1514	住石ホールディングス	スタンダード（内国株式）	1050	鉱業	2	エネルギー資源	7	TOPIX Small 2	525.0	2.86	15.0	2.85	15.0	2.86	配当あり	いいえ	11.9	1.08	314.1	1557.0	506.0	Energy			OK	通常掲載可	OK	10658.0	3.09	3.84	90.55	0.0	4491.0	44.13	33.99	9.23	0
