コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1870	矢作建設工業	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	1830.0	5.46	100.0	5.46	100.0	5.46	配当あり	いいえ	9.3	1.04	790.2	2534.0	1773.0	Industrials			OK	通常掲載可	OK	169399.0	8.11	20.4	51.47	0.41	8585.0	196.73	50.83	11.69	4
1871	ピーエス・コンストラクション	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	2249.0	4.49	101.0	4.49	101.0	4.49	配当あり	いいえ	11.29	1.61	1053.0	3550.0	1722.0	Industrials			OK	通常掲載可	OK	149370.0	8.66	10.13	45.96	0.43	-18676.0	199.26	50.69	15.12	1
1873	日本ハウスホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	303.0	3.96	12.0	3.96	12.0	3.96	配当あり	いいえ	9.04	0.53	121.2	336.0	285.0	Consumer Cyclical			OK	通常掲載可	OK	34980.0	6.68	-10.54	51.12	0.48	2788.0	33.51	35.81	6.04	1
1878	大東建託	プライム（内国株式）	8050	不動産業	17	不動産	4	TOPIX Mid400	3073.0	5.3	163.0	5.3	163.0	5.3	配当あり	いいえ	10.28	2.02	9983.8	3848.0	2844.5	Real Estate			OK	通常掲載可	OK	1984740.0	6.81	7.73	36.3	0.47	9762.0	299.0	54.52	20.54	2
1879	新日本建設	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	2119.0	3.68	78.0	3.68	78.0	3.68	配当あり	いいえ	8.14	0.92	1239.4	2339.0	1621.0	Industrials			OK	通常掲載可	OK	138427.0	14.74	5.14	72.61		16693.0	260.21	29.98	11.85	0
1882	東亜道路工業	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	1555.0	5.79	90.0	5.79	90.0	5.79	配当あり	いいえ	20.97	1.34	718.5	1954.0	1457.0	Industrials			OK	通常掲載可	OK	121327.0	4.77	-4.15	60.61	0.09	9651.0	74.17	121.34	6.31	2
1885	東亜建設工業	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	2084.0	3.69	77.0	3.69	77.0	3.69	配当あり	いいえ	8.39	1.38	1611.3	4680.0	1625.0	Industrials			OK	通常掲載可	OK	358697.0	6.75	8.54	38.15	0.22	44265.0	248.41	31.0	17.22	2
1887	日本国土開発	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	523.0	3.82	20.0	3.82	20.0	3.82	配当あり	いいえ	19.38	0.6	417.1	719.0	454.0	Industrials			OK	通常掲載可	OK	123348.0	1.88	-9.1	47.08	0.45	-430.0	26.99	74.1	6.48	0
1888	若築建設	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	3290.0	4.41	145.0	4.41	145.0	4.41	配当あり	いいえ	9.59	0.78	418.7	6170.0	3135.0	Industrials			OK	通常掲載可	OK	104748.0	6.35	21.15	44.1	0.4	-745.0	343.15	42.26	8.52	4
1893	五洋建設	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1706.5	3.05	52.0	3.05	52.0	3.05	配当あり	いいえ	13.59	2.35	4636.4	2257.0	915.8	Industrials			OK	通常掲載可	OK	794306.0	6.96	9.18	25.08	0.99	-27550.0	125.6	41.4	18.67	0
1897	金下建設	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	3180.0	1.57	50.0	1.57	50.0	1.57	配当あり	いいえ	28.41	0.34	66.9	3515.0	2732.0	Industrials			OK	通常掲載可	OK	8837.0	1.13	-9.3	82.25	0.0	18.0	111.94	44.67	1.25	0
1898	世紀東急工業	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	1452.0	5.23	76.0	5.23	76.0	5.23	配当あり	いいえ	11.39	1.2	531.9	1729.0	1395.0	Industrials			OK	通常掲載可	OK	95258.0	6.74	-4.13	52.31	0.15	9609.0	127.49	59.61	10.86	0
1899	福田組	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	3655.0	7.11	260.0	7.11	260.0	7.11	配当あり	いいえ	10.91	0.67	605.4	4450.0	2460.0	Industrials			OK	通常掲載可	OK	167959.0	4.63	0.82	60.89	0.01	715.0	335.16	77.57	6.89	2
189A	Ｄ＆Ｍカンパニー	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	975.0	2.05	20.0	2.05	20.0	2.05	配当あり	いいえ	10.29	0.99	22.3	1500.0	785.0	Healthcare			OK	通常掲載可	OK	1502.7	19.93	26.33	22.85	3.26	-102.3	94.77	21.1	10.37	
1904	大成温調	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	5080.0	3.9	198.0	3.9	198.0	3.9	配当あり	いいえ	8.86	1.03	315.8	5630.0	3895.0	Industrials			OK	通常掲載可	OK	61719.1	6.45	-1.25	59.22	0.0	9127.5	573.53	34.52	12.16	0
1905	テノックス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1529.0	4.05	62.0	4.05	62.0	4.05	配当あり	いいえ	10.83	0.75	101.9	1623.0	1176.0	Industrials			OK	通常掲載可	OK	21093.5	6.11	-11.06	63.97	0.01	694.9	141.13	43.93	6.96	1
1909	日本ドライケミカル	スタンダード（内国株式）	3600	機械	8	機械	-	-	3695.0	0.61	22.5	0.61	22.5	0.61	配当あり	いいえ	19.49	3.19	990.8	3850.0	1228.75	Industrials			OK	通常掲載可	OK	60518.8	13.2	8.6	54.47	0.14	2782.9	189.55	11.87	16.19	3
190A	Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	80.0						配当未取得			2.55	60.2	220.0	66.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	0.0			90.89		-1842.2	-20.67		-51.9	
1911	住友林業	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1361.5	3.67	50.0	3.67	50.0	3.67	配当あり	いいえ	7.82	0.67	8348.3	1874.5	1232.5	Consumer Cyclical			OK	通常掲載可	OK	2267577.0	7.44	10.42	39.04	0.77	17857.0	174.14	28.71	12.99	2
1914	日本基礎技術	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	679.0	8.84	60.0	8.84	60.0	8.84	配当あり	いいえ	7.58	0.5	124.2	779.0	611.0	Industrials	高利回り要確認	配当利回りが8%以上	要確認	手動確認後に掲載	OK_高利回り要確認	27353.7	5.32	-9.66	64.12	0.29	-1359.3	89.63	66.94	6.96	2
1921	巴コーポレーション	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1779.0	1.35	24.0	1.35	24.0	1.35	配当あり	いいえ	10.46	0.82	597.1	2339.0	1450.0	Industrials			OK	通常掲載可	OK	34952.0	13.62	0.81	59.85	0.22	9184.6	170.07	14.11	8.52	4
1925	大和ハウス工業	プライム（内国株式）	2050	建設業	3	建設・資材	2	TOPIX Large70	4503.0	2.91	131.0	2.91	131.0	2.91	配当あり	いいえ	7.95	0.96	27889.2	5805.0	4081.0	Real Estate			OK	通常掲載可	OK	5576861.0	11.03	2.61	34.43	1.11	-304555.0	566.48	23.13	12.53	5
1926	ライト工業	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	4100.0	5.17	212.0	5.17	212.0	5.17	配当あり	いいえ	14.2	1.91	1687.9	4380.0	2852.0	Industrials			OK	通常掲載可	OK	139216.0	12.36	14.62	71.47	0.02	10340.0	288.64	73.45	13.92	12
1928	積水ハウス	プライム（内国株式）	2050	建設業	3	建設・資材	2	TOPIX Large70	3445.0	4.24	146.0	4.24	146.0	4.24	配当あり	いいえ	8.68	1.03	22331.8	3832.0	3092.0	Consumer Cyclical			OK	通常掲載可	OK	4197922.0	8.13	3.43	42.74	0.89	121237.0	396.86	36.79	12.64	4
1929	日特建設	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	1110.0	4.5	50.0	4.5	50.0	4.5	配当あり	いいえ	11.12	1.23	463.6	1465.0	1074.0	Industrials			OK	通常掲載可	OK	83797.0	6.95	24.67	60.41	0.01	2168.0	99.79	50.11	11.65	1
192A	インテグループ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1239.0	8.07	100.0	8.07	100.0	8.07	配当あり	いいえ		1.46	26.5	2345.0	1175.0	Financial Services	高利回り要確認	配当利回りが8%以上	要確認	手動確認後に掲載	OK_高利回り要確認	1892.2	26.28	-13.91	89.46		-231.1	-10.9			
1930	北陸電気工事	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	1655.0	2.9	48.0	2.9	48.0	2.9	配当あり	いいえ	11.85	0.99	455.2	1821.0	1188.0	Industrials			OK	通常掲載可	OK	61028.0	8.39	9.75	74.34	0.01	29.0	139.68	34.36	8.6	1
1934	ユアテック	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	2453.0	3.18	78.0	3.18	78.0	3.18	配当あり	いいえ	16.31	1.09	1684.9	3305.0	2083.0	Industrials			OK	通常掲載可	OK	252262.0	7.15	-1.92	67.83	0.05	5985.0	150.37	51.87	6.82	2
1938	日本リーテック	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	2685.0	3.61	97.0	3.61	97.0	3.61	配当あり	いいえ	11.98	0.96	665.4	3245.0	1859.0	Industrials			OK	通常掲載可	OK	74044.9	9.61	7.83	68.36	0.01	3003.3	224.2	43.26	8.35	2
1939	四電工	プライム（内国株式）	2050	建設業	3	建設・資材	7	TOPIX Small 2	2006.0	4.19	84.0	4.19	84.0	4.19	配当あり	いいえ	12.66	1.34	949.5	2145.0	1286.0	Industrials			OK	通常掲載可	OK	99448.0	8.87	-6.07	68.44	0.11	1970.0	158.47	53.01	11.07	5
1941	中電工	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	5390.0	2.6	140.0	2.6	140.0	2.6	配当あり	いいえ	15.77	1.17	2853.6	5720.0	3325.0	Industrials			OK	通常掲載可	OK	227849.0	11.49	2.69	76.86	0.0	24609.0	341.73	40.97	7.86	2
1942	関電工	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	6772.0	1.92	130.0	1.92	130.0	1.92	配当あり	いいえ	21.74	3.45	13477.2	7460.0	3311.0	Industrials			OK	通常掲載可	OK	742022.0	11.2	10.44	61.4	0.04	73670.0	311.51	41.73	16.76	5
